"X..i..","source"
"Why'd i think she was British!?!","VS"
"i dont like her vibes","VS"
"She's so naturally lovely.","VS"
"Music : 'Blue' by Aaron Taylor : )","VS"
"She's like so nice and down to earth, unlike other models that seem like intimidating, you know what I mean? alike if I saw her in the street I would totally approach to her ❤️❤️","VS"
"she knew he would find her this is so cute","VS"
"Lily ❤️","VS"
"love
Lily
always","VS"
"shes so pretty","VS"
"She is gorg","VS"
"A beautiful soul","VS"
"Waiting for Jo","VS"
"She should go back to taylor's crib and cry. Why isnt she retired yet? I mean heidi klum retired. Why cant she? She is around heidi's age right","VS"
"Beautiful Lily!","VS"
"I dont get it ppl, shes not the most beautiful, neither best for walking, but cant you see that shes so humble, fun, and nice? I mean i can see good from her. Poor you ppl","VS"
"Awwww ❤❤❤❤ How cute 💜","VS"
"WE WANT KENDALL & GIGI!!!!","VS"
"Lily's quite the beaut 😋","VS"
"so sweet.. beautiful Lily, you're my fave","VS"
"she's so cute and so funny","VS"
"Lily ♥","VS"
"I hate this ugly bitch","VS"
"Waiting for Adriana's....","VS"
"How old is she and is she still single???","VS"
"Lily has such a nice personality💞","VS"
"*in Love","VS"
"She's probably not the most stunning, but she is so classy and unique, not to mention she seems so humble and down on earth. Definitely one of my favourites angels","VS"
"Waiting for Adriana","VS"
"😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘","VS"
"¿YA TE SUSCRIBISTE A NUESTRO CANAL DE YOUTUBE?
HAZLO YA!!! SOLO CLICKEA EN ESTE ENLACE:
https://www.youtube.com/user/promotorasedecanes","VS"
"Love her is beautiful","VS"
"Mimikleri falan cok guzel hatun be abi","VS"
"Waiting for Romee♥♥♥","VS"
"So cute","VS"
"😍 I love her","VS"
"I don't get why a lot of people do not like lily. She is so pretty and has a great personality.","VS"
"Best angel","VS"
"yalama şelalesi :m","VS"
"You girls are hot😍😙","VS"
"Victoria ASS","VS"
"All sweaty, very nice.","VS"
"In my opinion Josephine Skriver is hotter than Candice Swanepoel","VS"
"Candice ❤️😍😍😍😍","VS"
"Candice will always be my inspiration❤ and her body is really GOALS!😍👑🔥","VS"
"THEY BOTH KILLED THIS COMMERCIAL OMG YES","VS"
"Wait i'm flat and broke.","VS"
"I love Queen Candice so much! So stunning ❤️","VS"
"All the girls look effortlessly beautiful WOW","VS"
"Candice is really amazing 👑❤️😍😍😍","VS"
"I got mine today woot woot!!!","VS"
"I bought this bra yesterday it's so hard to get on and it has no support at all! Fucking terrible £50 waste of money don't buy it 👎🏻👎🏻😡","VS"
"I can't stop seeing this! Candice is so extremely beautiful ❤","VS"
"Candice is amazing!! Such a Queen 👑","VS"
"Candice 😍😍😍","VS"
"Queen Candice is perfect! The most beautiful and beloved angel! 👑","VS"
"Candice is so inspiring! Queen ❤️❤️❤️","VS"
"I partially hate this bra it’s really hard to get on and I’m a 36DDD which is what I got, it fits comfortably afterwards but very hard to get on","VS"
"this is superb!!","VS"
"~ Sport Angel ~","VS"
"Victoria’s Secret Lingerie, KIMONOS, SLIPS, TEDDIES BODYSUITS.
Check out the most famous Brand Victoria's Secret Lingerie Collection 2017 in HFA Fashion Women.

Click here: https://goo.gl/nQGJDp","VS"
"Your products are so overpriced.","VS"
"wooow candiceeee you are supeer <3 <3 <3","VS"
"God bless VSX. My two favorite angels 💪 skriverpoel","VS"
"Candice has gotten so into shape. I have been trying for 5 years and she has been doing it in one year. She also beet me. She could beet me in a arm wrestle easily with out breaking a sweat.","VS"
"Music by Lemaitre - https://www.popisms.com/Song/142313/Stepping-Stone-2016-by-Lemaitre-and-Mark-Jo.aspx","VS"
"We now what your secret is. All of your models are transgender men.","VS"
"the fuck is the song playing on this?","VS"
"Came to make sure what I was seeing was what I thought it was. The hole pattern on the blue top is a big cock and balls. You can't say it isn't.","VS"
"Now I'm sure that Josephine Skriver is one of the most stunning new angels😍🔥","VS"
"JOJO IS REAL ANGEL","VS"
"I want to become a model can you help me? please please","VS"
"please","VS"
"I want to become a model can you help me? please please","VS"
"Alice Matos in the video a model.","VS"
"Tay hill ❤❤","VS"
"I hope. They are not gonna replace Candice..","VS"
"Song name though?!?","VS"
"Candice <3 <3","VS"
"LOVE hearing Lemaitre's song ""Stepping Stone"" in this commercial!","VS"
"CANDICE!!!!","VS"
"Jojo 😍","VS"
"obsessed with the music, even though it's only 16 seconds....","VS"
"This is the ultimate beauty.♪","VS"
"Candice... 🔥👊👑👍💞","VS"
"Once I learned Victoria Secret did prison labor (aka slavery) I had to unsubscribe and stop buying your products..","VS"
"My two favorites! Thank you!","VS"
"Love you Josephine! Pretty face and great body!","VS"
"Josephine is overrated use somebody else","VS"
"Candice will always be my goals even though I'm 5ft, dark hair, dark eyes, tanned skin and chubby hahaha.","VS"
"I loved","VS"
"i wanna be part of y'all  i know how to dance","VS"
"We want Gigi n Kendall!","VS"
"omg Josephine and Candice 😍 my faves ❤❤","VS"
"Candice 😍","VS"
"Woww very good!!😀👌","VS"
"SUPER SEXY GIRLS UND SEXY BRA!!  WOW!! XOXO!!","VS"
"CANDICE, YASSSSS.","VS"
"I would LOVE this kind of fierce music in the next Victoria Secrets fashion show.","VS"
"Sorry but that thing on the blue bra , looks like a pen*s 🤷🏻‍♀️","VS"
"They are very sexy","VS"
"Out of them who is candice blue or black??","VS"
"Love the back!","VS"
"Candice!!! ❤","VS"
"You can tell Candice really works out a lot for her body 😍💪 I can't believe she just had a baby last year 😲","VS"
"AMAZING!","VS"
"Candice and Josephine 😍","VS"
"Josephine 😍😍😍","VS"
"oie cy","VS"
"Candice 😍😘❤","VS"
"Candice has had 1 year post pregnancy to get back in shape.. I've had my whole life to do that, but no results achieved. And I've never been pregnant lol.","VS"
"Candice is back. :-D","VS"
"Excelente dúo! !!","VS"
"Candice 😍","VS"
"So good to see candice again😍","VS"
"Candice is racist she is not welcome in china","VS"
"Candice ❣️","VS"
"Candice!!!😍😍😍","VS"
"Josephine is stunnng","VS"
"Not hating but a little bit sad. They always use Josephine Skriver in every campaign. I mean they have a lot of beautiful angels.. they have 8 new angels and 5 veteran angels.. why not use them?? Sorry just opinion though..","VS"
"Candice 💕💕💕","VS"
"damn","VS"
"Candice😍💋😘❤️🎶👏💛👍","VS"
"Whoa im early","VS"
"❤❤❤","VS"
"Candice ❤️","VS"
"❤❤❤❤","VS"
"Yasss Victoria's secret yasss ❤❤❤💕definitely buying it","VS"
"😘","VS"
"Lais is like 5’11” - 6’1” & Sadie is probably around 4’9” - 5’1”","VS"
"Lol Lais is 6’1 and the trainer looks about 4’11/5’0 this is so funny","VS"
"wtf, lais is only 1.85m    the other women must be a hobit under 1.49","VS"
"Lais Ribeiro is a gorgeous tall bombshell. Brazilians represent","VS"
"Im curius cuz im in the fitnes industry actually- out of all 3 moves i only noticed that 1 actually works the butt.  The first one works the leg and the last on works the inner thigh-am i missing something?  I tried them myself and u dont feel it in the booty at all..","VS"
"Are you all 10 years old or what? Yes she is very tall, where is the funny thing about it? I have her height too and I meet short people all the time. Why is that funny? Stop making people selfconsious about there appearance.","VS"
"lais!!!","VS"
"Holy shit the height difference! Lais literally looks like she is on the set of ""Gods of Egypt""!! Stunning Goddess!!","VS"
"Victoria’s Secret Lingerie, KIMONOS, SLIPS, TEDDIES BODYSUITS.

Check out the most famous Brand Victoria's Secret Lingerie Collection 2017 in HFA Fashion Women.

https://www.facebook.com/hfafashion/posts/1928604120732653","VS"
"Is that the right way to pronounce Lais? I thought it pronounces like lace...","VS"
"They couldn't find a taller instructor?","VS"
"she is a gigant","VS"
"Yes, she's short. 
Is there something wrong with that?","VS"
"Dude Lais looks like an avatar next to her 😂 I didn't realize how tall that actually was and how much body mass they have until now.","VS"
"Aw come on guys. Stop picking on the instructor. 😂😂😂","VS"
"Tall womens are seen as beautiful but I don't see it that way, tall womens look almost weird to me (i'm a guy)","VS"
"Omg is gigant😂","VS"
"I want a better butt","VS"
"I want Alessandra opens the show this year","VS"
"Lmao the second one","VS"
"Oh my God that lady is so short and lias is so tall!!!!","VS"
"She , the trainer , looks like a ant next to Lais","VS"
"What is sadie's height?","VS"
"I hope Elsa will wear the fantasy bra","VS"
"I saw princess and maid. hahaha,","VS"
"I can not take this video seriously because of the height difference 😂😂","VS"
"LOL, Why too short ? Or Lais Ribeiro became an Avatar ? i'm dyin!!!!","VS"
"She’s a giant","VS"
"Laid looks like a giant compared to the other woman","VS"
"The height difference 😂","VS"
"Lais❤, what a beautiful smile, what a beautiful body!","VS"
"i hope lais waering fantasy bra.","VS"
"Janine tugonon please","VS"
"I want to become a model can you help me? please please","VS"
"I am a guy why am i watching this","VS"
"why the instructure is too shortttt 😂😂 omg i'm dyin","VS"
"Lais has one of the best bodies of the Victoria Secret Angels 😍 (along with Candice) Hope she gets to wear the Fantasy Bra soon. ❤️","VS"
"Lais 😍","VS"
"Bellas ☺♥","VS"
"Lais ❤️❤️","VS"
"Ladies please don't listen to this lying ass woman she ain't even got ass ☠️","VS"
"First View ❤️","VS"
"Love this!!!","VS"
"I checked and it says she is 5'11","VS"
"Ainoha Sanz so true 😂","VS"
"😂","VS"
"I  feel like the model in my life.. its like.. your tall.. but actually i have a incredible body!","VS"
"Is it just me or Lais looks like Jasmine Tookes....she wore fantasy bra 2016","VS"
"Seriously they are lanky but so graceful and goddess-like.","VS"
"The thumbnail tho","VS"
"Geez so tall","VS"
"Soooo gorgeous 😍😍😍","VS"
"how tall Lais!!!!!!","VS"
"Lais u so beautiful 😍😍😍","VS"
"More dance workout videos please","VS"
"Alessandra should to open the show this year VS you should to know it","VS"
"Lais es como un avatar💖","VS"
"Lais is so underrated","VS"
"Lais is a physical phenomenon","VS"
"Giant and dwarf?","VS"
"How to Make It As a Fitness Model!
Article Source: https://goo.gl/dyBpWD","VS"
"Shes such an underrated angel","VS"
"She looks like an avatar next to her😂","VS"
"she is so tall wow","VS"
"her body is amazing, it does not even look like she has a son","VS"
"Lais is so pretty! 😻I hope Lais or Elsa gets the Fantasy Bra this year.","VS"
"Wow lais is very tall😲😲😲 that difference!😂","VS"
"lol the height :D","VS"
"wow lais is so tall","VS"
"That height difference though","VS"
"♥♥","VS"
"ED GIVE HER THE FANTASY BRA!!!😍","VS"
"Lais is so graceful ☺️","VS"
"Lais is so beautiful and gorgeous 💕💕💖💖","VS"
"Lais is a goddess my god","VS"
"1st!!!","VS"
"Soundtrack?","VS"
"Name of song please","VS"
"I work foro VS and I am soooo excited for this!!!!!","VS"
"wow,incredible collabs","VS"
"Please, what is the music ?","VS"
"I'd like to fuck","VS"
"OMGGGG","VS"
"What I'm lost","VS"
"I want to like it but we didn't really even see the clothes? Maybe bc it's just a teaser but still","VS"
"Music ?","VS"
"Oh fuck! No way !! ❤️","VS"
"When's the whole thing coming out?????","VS"
"OMG IM :OOO","VS"
"we are definitely ready for this.","VS"
"What's is up my Neighbors","VS"
"I think it might look a bit too hf....","VS"
"Accommodation in George","VS"
"omg those skiny legs. is so discusting to promove this kind of unhealthy life style","VS"
"YESSSSSSSSSSSSSSSSSSSSSSSS","VS"
"The models of the dresses are very beautiful wow!!😍😍😍😘","VS"
"Can't wait","VS"
"Love love love love love😍😍😍","VS"
"I love Angels","VS"
"Please tell us who is wearing the Fantasy Bra this year we are all anxious","VS"
"Vai ser tiro em dobro","VS"
"i love how active balmain has been about collabs recently","VS"
"Romee ♥","VS"
"I'm so excited!!!","VS"
"I want to become a model can you help me? please please","VS"
"BALMAIN and Victoria's Secret?? Ah Hell Yes!!!","VS"
"This is gonna be fancy😍😍😍","VS"
"Oh my god!! The two best favorite brands of mine in collab!! My dreams are coming true ❤️","VS"
"I just loved it, they're all beautiful, light and loose❤😍!","VS"
"MY GOD I'M SO EXCITED","VS"
"OMG this is what i was waiting for!!!!!!!!","VS"
"So does this mean we'll see colab between Vs and Balmain for a segment at this years' VSFS? Yassssss 🔥🔥🔥","VS"
"I LOVE THIS SO MUCH ALREADY😻😻","VS"
"OMGGGG THIS IS MAJOR!!!!!","VS"
"Waiting for video Karlie and Fantasy Bra","VS"
"Top","VS"
"Yeah thanks for the totally revealing video. I feel so satiated by it and don't feel like it was an entire waste of my time.","VS"
"Romee","VS"
"3","VS"
"I am trying to find out which models are in the viedeo. I think sara Stella Jasmine and Elsa ?🤔","VS"
"OMG","VS"
"Hey","VS"
"Adriana, my idol, I love you! ❤","VS"
"The trainer was really awkward","VS"
"she's a nice person too","VS"
"What happened to Adriana's pt who had wings om his shoes? :(","VS"
"This is really helpful !","VS"
"Adriana lima and paolo guerrero??? buena pareja serian","VS"
"Adriana lima for  ""miss brasil"" ????","VS"
"Two beautiful girls. Dumb ones unfortunately","VS"
"Adriana!!!  Awesome instructor.  Also love the set and background here 🖒","VS"
"So glad... because you are showing this techniques with our favorite Adriana Lima...","VS"
"She may be a stunning lady and topmodel, but you can't deny that she *does not* have a butt at all..","VS"
"Adriana has a boxy body.. Not really a fan of her body..","VS"
"Cuidados com o corpo : ""Nenhum meu querido, não sei oq é uma academia de ginástica na minha vida ...eu como tudo McDonald's, caruru VatapAAAAA""
Lima, Adriana 2002","VS"
"Best Angel ever 😍😍","VS"
"Adriana's body is on point 😍","VS"
"We want more videos with the queen","VS"
"Those abs 😍","VS"
"I love Adriana and I love her form I have the same figure as her and it made me feel ok of not having an hourglass figure or a small waist like many others","VS"
"Wow two gorgeous women!!! Love training videos from you all, please keep them coming !!","VS"
"OMG! Adriana Diva...♥","VS"
"Metin hara yla ayrıldın mı yenge","VS"
"Mrs""A""...My FANTASY WIFE 🐂","VS"
"La mejor saludos desde Mexico","VS"
"The trainer body looks good tho🔥","VS"
"adriana is the best","VS"
"1st!","VS"
"More like this! 😊","VS"
"❤️❤️❤️❤️","VS"
"Ooo Adriana yenge  olm sesi nasil bisey bu kadının aq","VS"
"💗💗💗","VS"
"I love the Dogpound mentality. I follow them on Instagram and they have this very motivating approach instead of that 'crushing you' vibe you also sometimes see. Dara Hart seems very sweet and I've seen her workouts - that woman is in incredible shape!","VS"
"💪🏻💪🏻💪🏻","VS"
"Adriana THE BEST","VS"
"yass queen","VS"
"A good tip right after your workout is to crank that shit up to Ten Thousand and pick up the heaviest thing you can find.","VS"
"she is so tiny and positive ! <3","VS"
"Todas las entrenadoras de Victoria's Secret son como 30 cm más bajitas que las modelos jajaja","VS"
"Damn it's always the height difference.  Oh and I can't forget,  ADRIANNA ♡♡♡","VS"
"YA ERA HORA QUE SALIERA ADRIANA LIMA LA LIDER DE LOS ANGELES DE VS
Muchas gracias 😍😍😍😍😍😍😍","VS"
"0:59 your welcome","VS"
"queen Adriana","VS"
"Who are they??","VS"
"Yengemiz ♥️","VS"
"Her voice is so soothing","VS"
"Cuidados com o corpo : ""Nenhum meu querido, não sei oq é uma academia de ginástica na minha vida ... eu como tudo McDonald's, caruru VatapAAAAA"" 
Lima, Adriana 2002","VS"
"Adriana is perfect and beautiful ♡","VS"
"Omf very sportive😄","VS"
"just here for Adriana the Queen .","VS"
"Te amo Angels","VS"
"La mejor el cuerpo increible aun que de un ingles terrible saludos desde Mexico","VS"
"We love you adriana ♡♡","VS"
"Adriana is perfect","VS"
"Perfect","VS"
"Sesine sokam yenge","VS"
"First","VS"
"❤️❤️❤️","VS"
"0:14 is when you didn't study for finals and yet you pass","VS"
"Hands down the most sexiest thing ever","VS"
"Love this. Adriana and Alessandra are true angels. More Adriana please.","VS"
"NOW THOSE ARE WOMEN...REAL...FULL FIGURED.....VOLUPTUOUS WOMEN","VS"
"these two are drop dead gorgeous. cant imagine vs without em","VS"
"QUEENS ENTERED THE CASTLE","VS"
"yes. give the people what they want! lol","VS"
"the look at 0.07 seconds.... fire","VS"
"The best tribute to the most experienced of the angels, an entire commercial just fo them ❤👏👏 awesome #TeamBrazilianAngels 🇧🇷","VS"
"Adriana - damn fine like wine. The older she gets, the finer she becomes. 

VS is still very reliant on Adrianna. Once she leaves they'd be lost.","VS"
"Again alessandra is in the shade of adriana . I dont understand always adriana has to have more seconds in the comercials and ale less than her vs treat so bad ale one day she will be missed","VS"
"Đây chính là đẳng cấp","VS"
"They'll never take me. My boobs are saggy😭","VS"
"Alessandra 😍😍😍😍","VS"
"Hi, I’m Sarah Aschoff and I’m 17 years old. I have been obsessed with watching the Victoria Secret Fashion show for as long as I can remember. It gives me such joy to see all the beautiful costumes and it gets me especially excited for the holidays! What I’ve noticed, however, is that all the girls, although drop dead gorgeous, are 5’11 and practically goddesses. What I would absolutely love to see is some diversity in the chosen models. Especially in the eyes of younger girls, it is so pivotal for them to look up to girls from all shapes and sizes. It is such a fragile moment for them in their childhood years, whether that be 6 or 17, to be exposed to an overwhelming influential brand as Victoria’s Secret. And when they see all of the same type of women walking the runways, it really makes young girls feel as though that is exactly who they must be and look like in order to be beautiful. But in reality beauty comes in all forms. And real beauty is found in everyone, because we are all human and that’s something that is so uniquely beautiful on its own.","VS"
"Please Alessandra deserve to open the show","VS"
"Alessandra!!!!","VS"
"Do anyone know the song? 😍","VS"
"THE QUEENS ARE BACK","VS"
"The real queens are back! 💖👑","VS"
"Finally a video including one n only originals","VS"
"yasss! My favourite ones are back in the lingerie game! Adriana and Alessandra slay queens!!!! _ _","VS"
"Finally the queens are back","VS"
"Yes! Hallelujah! 13 seconds of pure perfection! This is all it takes, two bombshells and a simple set, no big production needed. This is what will get me to buy lingerie (and I sure am buying it), a sexy sensual woman not a goofy girl that looks like a teenager. Seeing the lingerie on a body like Adriana's is so much more relatable then seeing it on Stella for example. This is what I wanna see!","VS"
"Take notes Kendall and Gigi","VS"
"i totally happy VS treat those 2 Supermodel brazilian bombshow with this commercial. VS needs back to past way, i mean with Sexy Mature Angel not with Young Chick Cute Angel, some of new angel i like it such Lais, Sara, Josephine, And Jasmine but the other nay. I miss the old vs. I thought u should try to find another way for the marketing.","VS"
"VAI BRAAAASIIIL ,REPRESENTA 
🇧🇷🇧🇷😎✌❤❤RAINHAS","VS"
"Her face helps calm autism.","VS"
"Thank you.","VS"
"Come on,, it’s too short for vs legends😕","VS"
"Aaaahhhh these two slay so well 😍","VS"
"They should have a surprise segement one last time with Alessandra Adrianna Naomi Tyra Gisele Karolina and Hedi Klieum one last time like if you agree?💯💯💯💯💯💯💯💯💕💕💕💕👑👑👑","VS"
"this is how you should do a commercial vs","VS"
"Beautiful 😘💃👼❤️🎶💋🇮🇹","VS"
"SEXY, SEXY AND SEXY: Adriana Lima ?!","VS"
"Music by Janelle Kroll - https://www.popisms.com/Song/142552/Outsider-by-Janelle-Kroll.aspx","VS"
"I want Alessandra to open with a Fantasy Bra","VS"
"the commercial should have been longer.. I mean.. they are amazing","VS"
"my true Victoria Secret angels, no one can do it like them","VS"
"The two greatest","VS"
"Music ?","VS"
"They're bringing sexy back, these new angels don't know how to act","VS"
"Slay queens 💁💕","VS"
"omg,,this is so hot","VS"
"I don't know how I got from Led Zeppelin to Alice In Chains to Rival Sons to this, but I fucking like it.","VS"
"😘😘😘😘😘😘👌👌👌","VS"
"The SUPERMODELS!!!!! There can be no other! That's what VS  is about!!! 😍😍😍😍😍😍","VS"
"this is everything 🔥🔥🔥🔥","VS"
"Ya era hora de las cariocas 👑👑👑👑👑ADRIANA LIMA y ALESSANDRA AMBROSIO LAS MEJORES","VS"
"VS PLS MAKE ALESSANDRA OPEN THIS YEAR SHOW OR AT LEAST THE BALMAIN SEGMENT SHE DESERVES IT","VS"
"how can one dislike this video? good lord","VS"
"Need a new VSFS opening by Adriana!! I need it!!","VS"
"Now, THIS is what REAL sexy is all about!!! 👏🏻","VS"
"Yass Adrianna and Alessandra favorite angels","VS"
"WOOOWWWW! Amazing!!!","VS"
"great job!  keep on kraken","VS"
"Timeless beauty❤️❤️❤️","VS"
"Top","VS"
"Adriana 😍","VS"
"omg YAASSSSS THE ORIGINAL QUEENS","VS"
"Queens","VS"
"Is this the Balmain X VS collection??","VS"
"QUEENS ARE BACK QUEENS ARE BACK QUEENS ARE BACK YES YES YEEES!","VS"
"I have always loved VS, but I'd love them even more if you would just show how women who are older but in good shape physically and visually, could also represent an older market in a SEXY way.","VS"
"Amei esse vídeo sou muito fã da Vitória secret e eu acho lindas as modelos⚘😍","VS"
"My all time favorite angles <3","VS"
"رائع تشوكت كثير","VS"
"I think I just went to heaven","VS"
"Yes, finally a commercial with those two bombshells.","VS"
"Brazil!!!!!","VS"
"😍😍 THE QUEENS 👑👑","VS"
"Rainhas do Brasil 💚💛","VS"
"About Time A&A are back n slaying it","VS"
"Yas finally some real supermodels #teamadriana","VS"
"This is amazing... But i need more. Make a long video please","VS"
"Finally Brasilians bombshells is back.","VS"
"Ale queen!!!","VS"
"OMG!! The real queens angels are back. So excited!!! 😍😍","VS"
"Two legendary VS Queen. Love you so much ❤❤","VS"
"Queue the ""I feel like a potato"" comments","VS"
"Yessss! This is so hot! I really missed these sexy videos since most of the new ones were cute, pretty... but not very sexy. I‘m so happy that these brazilian queens are back!","VS"
"Wow... sexyyy hott","VS"
"Alessandra deserves to open the show","VS"
"Gente se inscreve no meu canal no YouTube","VS"
"The older models just got it... The new ones don't","VS"
"Great!  i miss saw them","VS"
"YASSS, THE QUEENS ARE BACK!
How much I've missed seeing Adriana working for VS, damn. We need more of this sexiness instead of cutesy path VS is heading to lately.","VS"
"Yeees the Queens are back💥","VS"
"puras viejas feas bien rucas antes era chido echarse un fap nocturno viendo estas mamadas en la tele pero ahora estan viejas jajajajajaja","VS"
"Yes! Finally Veteran Angels 😍 Hope one of them get to open the 2017 Victoria Secret Fashion Show.","VS"
"When will u someday open a victoria secret shop in Mauritius","VS"
"My Angels and the real OGs of VS Adriana and Alessandra are back and they’re HOTTER and SEXIER than ever before. I love both of them because they’re my best friends.","VS"
"sweet :)","VS"
"now these are the godmothers of victoria's   secret","VS"
"Finally, the brazilian queens is back!","VS"
"😍😍","VS"
"NOW THIS IS A COMMERCIAL👏👏👏👏","VS"
"Queens❤","VS"
"fuck this commercial...where is the making of VSFS2017","VS"
"Perfect face adriana ♡♡♡ you are the true meaning of perfection","VS"
"0:14 is when you didn't study for finals and yet you pass","VS"
"Hands down the most sexiest thing ever","VS"
"Love this. Adriana and Alessandra are true angels. More Adriana please.","VS"
"NOW THOSE ARE WOMEN...REAL...FULL FIGURED.....VOLUPTUOUS WOMEN","VS"
"these two are drop dead gorgeous. cant imagine vs without em","VS"
"QUEENS ENTERED THE CASTLE","VS"
"yes. give the people what they want! lol","VS"
"the look at 0.07 seconds.... fire","VS"
"The best tribute to the most experienced of the angels, an entire commercial just fo them ❤👏👏 awesome #TeamBrazilianAngels 🇧🇷","VS"
"Adriana - damn fine like wine. The older she gets, the finer she becomes. 

VS is still very reliant on Adrianna. Once she leaves they'd be lost.","VS"
"Again alessandra is in the shade of adriana . I dont understand always adriana has to have more seconds in the comercials and ale less than her vs treat so bad ale one day she will be missed","VS"
"Đây chính là đẳng cấp","VS"
"They'll never take me. My boobs are saggy😭","VS"
"Alessandra 😍😍😍😍","VS"
"Hi, I’m Sarah Aschoff and I’m 17 years old. I have been obsessed with watching the Victoria Secret Fashion show for as long as I can remember. It gives me such joy to see all the beautiful costumes and it gets me especially excited for the holidays! What I’ve noticed, however, is that all the girls, although drop dead gorgeous, are 5’11 and practically goddesses. What I would absolutely love to see is some diversity in the chosen models. Especially in the eyes of younger girls, it is so pivotal for them to look up to girls from all shapes and sizes. It is such a fragile moment for them in their childhood years, whether that be 6 or 17, to be exposed to an overwhelming influential brand as Victoria’s Secret. And when they see all of the same type of women walking the runways, it really makes young girls feel as though that is exactly who they must be and look like in order to be beautiful. But in reality beauty comes in all forms. And real beauty is found in everyone, because we are all human and that’s something that is so uniquely beautiful on its own.","VS"
"Please Alessandra deserve to open the show","VS"
"Alessandra!!!!","VS"
"Do anyone know the song? 😍","VS"
"THE QUEENS ARE BACK","VS"
"The real queens are back! 💖👑","VS"
"Finally a video including one n only originals","VS"
"yasss! My favourite ones are back in the lingerie game! Adriana and Alessandra slay queens!!!! _ _","VS"
"Finally the queens are back","VS"
"Yes! Hallelujah! 13 seconds of pure perfection! This is all it takes, two bombshells and a simple set, no big production needed. This is what will get me to buy lingerie (and I sure am buying it), a sexy sensual woman not a goofy girl that looks like a teenager. Seeing the lingerie on a body like Adriana's is so much more relatable then seeing it on Stella for example. This is what I wanna see!","VS"
"Take notes Kendall and Gigi","VS"
"i totally happy VS treat those 2 Supermodel brazilian bombshow with this commercial. VS needs back to past way, i mean with Sexy Mature Angel not with Young Chick Cute Angel, some of new angel i like it such Lais, Sara, Josephine, And Jasmine but the other nay. I miss the old vs. I thought u should try to find another way for the marketing.","VS"
"VAI BRAAAASIIIL ,REPRESENTA 
🇧🇷🇧🇷😎✌❤❤RAINHAS","VS"
"Her face helps calm autism.","VS"
"Thank you.","VS"
"Come on,, it’s too short for vs legends😕","VS"
"Aaaahhhh these two slay so well 😍","VS"
"They should have a surprise segement one last time with Alessandra Adrianna Naomi Tyra Gisele Karolina and Hedi Klieum one last time like if you agree?💯💯💯💯💯💯💯💯💕💕💕💕👑👑👑","VS"
"this is how you should do a commercial vs","VS"
"Beautiful 😘💃👼❤️🎶💋🇮🇹","VS"
"SEXY, SEXY AND SEXY: Adriana Lima ?!","VS"
"Music by Janelle Kroll - https://www.popisms.com/Song/142552/Outsider-by-Janelle-Kroll.aspx","VS"
"I want Alessandra to open with a Fantasy Bra","VS"
"the commercial should have been longer.. I mean.. they are amazing","VS"
"my true Victoria Secret angels, no one can do it like them","VS"
"The two greatest","VS"
"Music ?","VS"
"They're bringing sexy back, these new angels don't know how to act","VS"
"Slay queens 💁💕","VS"
"omg,,this is so hot","VS"
"I don't know how I got from Led Zeppelin to Alice In Chains to Rival Sons to this, but I fucking like it.","VS"
"😘😘😘😘😘😘👌👌👌","VS"
"The SUPERMODELS!!!!! There can be no other! That's what VS  is about!!! 😍😍😍😍😍😍","VS"
"this is everything 🔥🔥🔥🔥","VS"
"Ya era hora de las cariocas 👑👑👑👑👑ADRIANA LIMA y ALESSANDRA AMBROSIO LAS MEJORES","VS"
"VS PLS MAKE ALESSANDRA OPEN THIS YEAR SHOW OR AT LEAST THE BALMAIN SEGMENT SHE DESERVES IT","VS"
"how can one dislike this video? good lord","VS"
"Need a new VSFS opening by Adriana!! I need it!!","VS"
"Now, THIS is what REAL sexy is all about!!! 👏🏻","VS"
"Yass Adrianna and Alessandra favorite angels","VS"
"WOOOWWWW! Amazing!!!","VS"
"great job!  keep on kraken","VS"
"Timeless beauty❤️❤️❤️","VS"
"Top","VS"
"Adriana 😍","VS"
"omg YAASSSSS THE ORIGINAL QUEENS","VS"
"Queens","VS"
"Is this the Balmain X VS collection??","VS"
"QUEENS ARE BACK QUEENS ARE BACK QUEENS ARE BACK YES YES YEEES!","VS"
"I have always loved VS, but I'd love them even more if you would just show how women who are older but in good shape physically and visually, could also represent an older market in a SEXY way.","VS"
"Amei esse vídeo sou muito fã da Vitória secret e eu acho lindas as modelos⚘😍","VS"
"My all time favorite angles <3","VS"
"رائع تشوكت كثير","VS"
"I think I just went to heaven","VS"
"Yes, finally a commercial with those two bombshells.","VS"
"Brazil!!!!!","VS"
"😍😍 THE QUEENS 👑👑","VS"
"Rainhas do Brasil 💚💛","VS"
"About Time A&A are back n slaying it","VS"
"Yas finally some real supermodels #teamadriana","VS"
"This is amazing... But i need more. Make a long video please","VS"
"Finally Brasilians bombshells is back.","VS"
"Ale queen!!!","VS"
"OMG!! The real queens angels are back. So excited!!! 😍😍","VS"
"Two legendary VS Queen. Love you so much ❤❤","VS"
"Queue the ""I feel like a potato"" comments","VS"
"Yessss! This is so hot! I really missed these sexy videos since most of the new ones were cute, pretty... but not very sexy. I‘m so happy that these brazilian queens are back!","VS"
"Wow... sexyyy hott","VS"
"Alessandra deserves to open the show","VS"
"Gente se inscreve no meu canal no YouTube","VS"
"The older models just got it... The new ones don't","VS"
